"SampleID","Individual_ID","UniProt","GeneID","Assay","NPX","Panel","Index"
"CV14_29","CV14","Q15582","TGFBI","TGFBI",8.02327,"CM",29
"CV56_30","CV56","Q15582","TGFBI","TGFBI",9.04729,"CM",30
"CV82_31","CV82","Q15582","TGFBI","TGFBI",10.06338,"CM",31
"CV23_32","CV23","Q15582","TGFBI","TGFBI",8.11939,"CM",32
"CV37_33","CV37","Q15582","TGFBI","TGFBI",9.84896,"CM",33
"CV34_34","CV34","Q15582","TGFBI","TGFBI",9.20787,"CM",34
"CV58_35","CV58","Q15582","TGFBI","TGFBI",9.4043,"CM",35
"CV22_36","CV22","Q15582","TGFBI","TGFBI",9.81923,"CM",36
"CV65_37","CV65","Q15582","TGFBI","TGFBI",8.86884,"CM",37
"CV79_38","CV79","Q15582","TGFBI","TGFBI",8.10816,"CM",38
"CV1_39","CV1","Q15582","TGFBI","TGFBI",8.78877,"CM",39
"CV51_40","CV51","Q15582","TGFBI","TGFBI",8.88181,"CM",40
"CV42_41","CV42","Q15582","TGFBI","TGFBI",10.13791,"CM",41
"CV19_42","CV19","Q15582","TGFBI","TGFBI",9.912,"CM",42
"CV70_43","CV70","Q15582","TGFBI","TGFBI",9.09478,"CM",43
"C78_44","C78","Q15582","TGFBI","TGFBI",9.5558,"CM",44
"CV10_45","CV10","Q15582","TGFBI","TGFBI",8.348,"CM",45
"CV8_46","CV8","Q15582","TGFBI","TGFBI",7.70482,"CM",46
"CV60_47","CV60","Q15582","TGFBI","TGFBI",9.47459,"CM",47
"CV35_48","CV35","Q15582","TGFBI","TGFBI",9.53066,"CM",48
"CV48_49","CV48","Q15582","TGFBI","TGFBI",9.67943,"CM",49
"CV76_50","CV76","Q15582","TGFBI","TGFBI",9.14109,"CM",50
"CV12_51","CV12","Q15582","TGFBI","TGFBI",9.7537,"CM",51
"C58_52","C58","Q15582","TGFBI","TGFBI",8.87737,"CM",52
"CV53_53","CV53","Q15582","TGFBI","TGFBI",9.3698,"CM",53
"CV50_54","CV50","Q15582","TGFBI","TGFBI",8.58748,"CM",54
"CV32_56","CV32","Q15582","TGFBI","TGFBI",8.538,"CM",56
"C197_57","C197","Q15582","TGFBI","TGFBI",8.21801,"CM",57
"CV18_58","CV18","Q15582","TGFBI","TGFBI",8.4083,"CM",58
"CV29_59","CV29","Q15582","TGFBI","TGFBI",9.96087,"CM",59
"CV34_60","CV34","Q15582","TGFBI","TGFBI",9.26558,"CM",60
"CV41_61","CV41","Q15582","TGFBI","TGFBI",8.73666,"CM",61
"CV9_62","CV9","Q15582","TGFBI","TGFBI",8.96835,"CM",62
"CV74_63","CV74","Q15582","TGFBI","TGFBI",8.69304,"CM",63
"CV16_64","CV16","Q15582","TGFBI","TGFBI",8.29587,"CM",64
"CV21_1","CV21","P17813","ENG","ENG",1.97061,"CM",1
"C161_2","C161","P17813","ENG","ENG",1.73362,"CM",2
"C173_3","C173","P17813","ENG","ENG",2.03371,"CM",3
"CV11_4","CV11","P17813","ENG","ENG",1.49278,"CM",4
"CV59_5","CV59","P17813","ENG","ENG",1.44964,"CM",5
"C193_6","C193","P17813","ENG","ENG",1.13687,"CM",6
"C33_7","C33","P17813","ENG","ENG",1.40747,"CM",7
"CV39_8","CV39","P17813","ENG","ENG",1.51162,"CM",8
"CV6_9","CV6","P17813","ENG","ENG",1.99272,"CM",9
"CV38_10","CV38","P17813","ENG","ENG",1.80462,"CM",10
"CV4_11","CV4","P17813","ENG","ENG",1.46294,"CM",11
"C195_12","C195","P17813","ENG","ENG",1.77089,"CM",12
